filename,category,score,path
12341902.pdf,AGRICULTURE,4.83,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AGRICULTURE\12341902.pdf
22408666.pdf,TEACHER,4.83,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\22408666.pdf
27419236.pdf,DIGITAL-MEDIA,4.82,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DIGITAL-MEDIA\27419236.pdf
25749150.pdf,ACCOUNTANT,4.82,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ACCOUNTANT\25749150.pdf
24703009.pdf,ACCOUNTANT,4.8,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ACCOUNTANT\24703009.pdf
21586858.pdf,CONSTRUCTION,4.8,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSTRUCTION\21586858.pdf
46349752.pdf,HEALTHCARE,4.8,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\46349752.pdf
13593241.pdf,ADVOCATE,4.79,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\13593241.pdf
15958967.pdf,ADVOCATE,4.78,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\15958967.pdf
69360287.pdf,AGRICULTURE,4.78,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AGRICULTURE\69360287.pdf
10641230.pdf,INFORMATION-TECHNOLOGY,4.78,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\10641230.pdf
23398843.pdf,TEACHER,4.77,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\23398843.pdf
92246939.pdf,CONSULTANT,4.77,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSULTANT\92246939.pdf
18714571.pdf,HEALTHCARE,4.77,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\18714571.pdf
